Sample,Metric,Match Distance
28,Uniformified 32-bit Hamming Metric Distance,0.85153
28,Uniformified 32-bit Approx Dual Streak Metric Distance,0.989262
28,Uniformified 32-bit Hash Metric Distance,0.000100615
28,Uniformified 32-bit Symmetric Wrap Metric Distance,0.995584
28,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0100143
29,Uniformified 32-bit Hamming Metric Distance,0.756315
29,Uniformified 32-bit Approx Dual Streak Metric Distance,0.964978
29,Uniformified 32-bit Hash Metric Distance,0.00730067
29,Uniformified 32-bit Symmetric Wrap Metric Distance,0.995656
29,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0104874
30,Uniformified 32-bit Hamming Metric Distance,0.959931
30,Uniformified 32-bit Approx Dual Streak Metric Distance,0.989262
30,Uniformified 32-bit Hash Metric Distance,0.00719976
30,Uniformified 32-bit Symmetric Wrap Metric Distance,0.997639
30,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0101539
31,Uniformified 32-bit Hamming Metric Distance,0.918385
31,Uniformified 32-bit Approx Dual Streak Metric Distance,0.638597
31,Uniformified 32-bit Hash Metric Distance,0.00939215
31,Uniformified 32-bit Symmetric Wrap Metric Distance,0.990369
31,Uniformified 32-bit Asymmetric Wrap Metric Distance,4.33167e-05
32,Uniformified 32-bit Hamming Metric Distance,0.997737
32,Uniformified 32-bit Approx Dual Streak Metric Distance,0.361493
32,Uniformified 32-bit Hash Metric Distance,0.00145266
32,Uniformified 32-bit Symmetric Wrap Metric Distance,0.987799
32,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00823314
33,Uniformified 32-bit Hamming Metric Distance,0.85153
33,Uniformified 32-bit Approx Dual Streak Metric Distance,0.299733
33,Uniformified 32-bit Hash Metric Distance,0.997348
33,Uniformified 32-bit Symmetric Wrap Metric Distance,0.9912
33,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00648317
34,Uniformified 32-bit Hamming Metric Distance,0.499488
34,Uniformified 32-bit Approx Dual Streak Metric Distance,0.83418
34,Uniformified 32-bit Hash Metric Distance,0.000742215
34,Uniformified 32-bit Symmetric Wrap Metric Distance,0.993529
34,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00312545
35,Uniformified 32-bit Hamming Metric Distance,0.756315
35,Uniformified 32-bit Approx Dual Streak Metric Distance,0.989262
35,Uniformified 32-bit Hash Metric Distance,0.00834838
35,Uniformified 32-bit Symmetric Wrap Metric Distance,0.992556
35,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00778167
36,Uniformified 32-bit Hamming Metric Distance,0.756315
36,Uniformified 32-bit Approx Dual Streak Metric Distance,0.148089
36,Uniformified 32-bit Hash Metric Distance,0.00133915
36,Uniformified 32-bit Symmetric Wrap Metric Distance,0.997296
36,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00815344
37,Uniformified 32-bit Hamming Metric Distance,0.982521
37,Uniformified 32-bit Approx Dual Streak Metric Distance,0.638597
37,Uniformified 32-bit Hash Metric Distance,0.999113
37,Uniformified 32-bit Symmetric Wrap Metric Distance,0.991828
37,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0109512
38,Uniformified 32-bit Hamming Metric Distance,0.85153
38,Uniformified 32-bit Approx Dual Streak Metric Distance,0.20574
38,Uniformified 32-bit Hash Metric Distance,0.00859097
38,Uniformified 32-bit Symmetric Wrap Metric Distance,0.987495
38,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0173087
39,Uniformified 32-bit Hamming Metric Distance,0.959931
39,Uniformified 32-bit Approx Dual Streak Metric Distance,0.499919
39,Uniformified 32-bit Hash Metric Distance,0.00492765
39,Uniformified 32-bit Symmetric Wrap Metric Distance,0.991877
39,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00764997
40,Uniformified 32-bit Hamming Metric Distance,0.85153
40,Uniformified 32-bit Approx Dual Streak Metric Distance,0.993433
40,Uniformified 32-bit Hash Metric Distance,0.0149309
40,Uniformified 32-bit Symmetric Wrap Metric Distance,0.999061
40,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0060443
41,Uniformified 32-bit Hamming Metric Distance,0.756315
41,Uniformified 32-bit Approx Dual Streak Metric Distance,0.993433
41,Uniformified 32-bit Hash Metric Distance,0.00906637
41,Uniformified 32-bit Symmetric Wrap Metric Distance,0.991048
41,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0134647
42,Uniformified 32-bit Hamming Metric Distance,0.36389
42,Uniformified 32-bit Approx Dual Streak Metric Distance,0.794294
42,Uniformified 32-bit Hash Metric Distance,0.00762718
42,Uniformified 32-bit Symmetric Wrap Metric Distance,0.99942
42,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0098661
43,Uniformified 32-bit Hamming Metric Distance,0.999339
43,Uniformified 32-bit Approx Dual Streak Metric Distance,0.499919
43,Uniformified 32-bit Hash Metric Distance,0.0142444
43,Uniformified 32-bit Symmetric Wrap Metric Distance,0.999608
43,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00895858
44,Uniformified 32-bit Hamming Metric Distance,0.635477
44,Uniformified 32-bit Approx Dual Streak Metric Distance,0.242023
44,Uniformified 32-bit Hash Metric Distance,0.00321717
44,Uniformified 32-bit Symmetric Wrap Metric Distance,0.995156
44,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00478581
45,Uniformified 32-bit Hamming Metric Distance,0.85153
45,Uniformified 32-bit Approx Dual Streak Metric Distance,0.299733
45,Uniformified 32-bit Hash Metric Distance,0.00700488
45,Uniformified 32-bit Symmetric Wrap Metric Distance,0.990357
45,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0146046
46,Uniformified 32-bit Hamming Metric Distance,0.756315
46,Uniformified 32-bit Approx Dual Streak Metric Distance,0.998981
46,Uniformified 32-bit Hash Metric Distance,0.00365106
46,Uniformified 32-bit Symmetric Wrap Metric Distance,0.999157
46,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00574299
47,Uniformified 32-bit Hamming Metric Distance,0.499488
47,Uniformified 32-bit Approx Dual Streak Metric Distance,0.700476
47,Uniformified 32-bit Hash Metric Distance,0.00308992
47,Uniformified 32-bit Symmetric Wrap Metric Distance,0.984296
47,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00993382
48,Uniformified 32-bit Hamming Metric Distance,0.85153
48,Uniformified 32-bit Approx Dual Streak Metric Distance,0.867532
48,Uniformified 32-bit Hash Metric Distance,0.0065666
48,Uniformified 32-bit Symmetric Wrap Metric Distance,0.994664
48,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0166788
49,Uniformified 32-bit Hamming Metric Distance,0.959931
49,Uniformified 32-bit Approx Dual Streak Metric Distance,0.794294
49,Uniformified 32-bit Hash Metric Distance,0.0067714
49,Uniformified 32-bit Symmetric Wrap Metric Distance,0.990725
49,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00586801
50,Uniformified 32-bit Hamming Metric Distance,0.635477
50,Uniformified 32-bit Approx Dual Streak Metric Distance,0.982724
50,Uniformified 32-bit Hash Metric Distance,0.000478617
50,Uniformified 32-bit Symmetric Wrap Metric Distance,0.996887
50,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00713849
51,Uniformified 32-bit Hamming Metric Distance,0.918385
51,Uniformified 32-bit Approx Dual Streak Metric Distance,0.960003
51,Uniformified 32-bit Hash Metric Distance,0.00717814
51,Uniformified 32-bit Symmetric Wrap Metric Distance,0.988322
51,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0090257
52,Uniformified 32-bit Hamming Metric Distance,0.982521
52,Uniformified 32-bit Approx Dual Streak Metric Distance,0.944542
52,Uniformified 32-bit Hash Metric Distance,0.011777
52,Uniformified 32-bit Symmetric Wrap Metric Distance,0.992233
52,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0117067
53,Uniformified 32-bit Hamming Metric Distance,0.499488
53,Uniformified 32-bit Approx Dual Streak Metric Distance,0.913011
53,Uniformified 32-bit Hash Metric Distance,0.0060912
53,Uniformified 32-bit Symmetric Wrap Metric Distance,0.996
53,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0105344
54,Uniformified 32-bit Hamming Metric Distance,0.997737
54,Uniformified 32-bit Approx Dual Streak Metric Distance,0.499919
54,Uniformified 32-bit Hash Metric Distance,0.0136983
54,Uniformified 32-bit Symmetric Wrap Metric Distance,0.989815
54,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0166416
55,Uniformified 32-bit Hamming Metric Distance,0.85153
55,Uniformified 32-bit Approx Dual Streak Metric Distance,0.165873
55,Uniformified 32-bit Hash Metric Distance,0.0101721
55,Uniformified 32-bit Symmetric Wrap Metric Distance,0.997553
55,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0135376
56,Uniformified 32-bit Hamming Metric Distance,0.85153
56,Uniformified 32-bit Approx Dual Streak Metric Distance,0.998685
56,Uniformified 32-bit Hash Metric Distance,0.00686092
56,Uniformified 32-bit Symmetric Wrap Metric Distance,0.998825
56,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00926891
57,Uniformified 32-bit Hamming Metric Distance,0.982521
57,Uniformified 32-bit Approx Dual Streak Metric Distance,0.20574
57,Uniformified 32-bit Hash Metric Distance,0.00883863
57,Uniformified 32-bit Symmetric Wrap Metric Distance,0.993388
57,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0130939
58,Uniformified 32-bit Hamming Metric Distance,0.85153
58,Uniformified 32-bit Approx Dual Streak Metric Distance,0.638597
58,Uniformified 32-bit Hash Metric Distance,0.00526573
58,Uniformified 32-bit Symmetric Wrap Metric Distance,0.998958
58,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0123695
59,Uniformified 32-bit Hamming Metric Distance,0.982521
59,Uniformified 32-bit Approx Dual Streak Metric Distance,0.921841
59,Uniformified 32-bit Hash Metric Distance,0.00188859
59,Uniformified 32-bit Symmetric Wrap Metric Distance,0.995253
59,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00286313
60,Uniformified 32-bit Hamming Metric Distance,0.85153
60,Uniformified 32-bit Approx Dual Streak Metric Distance,0.499919
60,Uniformified 32-bit Hash Metric Distance,0.00112177
60,Uniformified 32-bit Symmetric Wrap Metric Distance,0.999466
