Sample,Metric,Match Distance
24,Uniformified 32-bit Hamming Metric Distance,0.959404
24,Uniformified 32-bit Approx Dual Streak Metric Distance,0.889211
24,Uniformified 32-bit Hash Metric Distance,0.269482
24,Uniformified 32-bit Symmetric Wrap Metric Distance,0.998918
24,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00669636
25,Uniformified 32-bit Hamming Metric Distance,0.983452
25,Uniformified 32-bit Approx Dual Streak Metric Distance,0.726727
25,Uniformified 32-bit Hash Metric Distance,0.159373
25,Uniformified 32-bit Symmetric Wrap Metric Distance,0.988498
25,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0104257
26,Uniformified 32-bit Hamming Metric Distance,0.628637
26,Uniformified 32-bit Approx Dual Streak Metric Distance,0.889211
26,Uniformified 32-bit Hash Metric Distance,0.218656
26,Uniformified 32-bit Symmetric Wrap Metric Distance,0.996018
26,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00379087
27,Uniformified 32-bit Hamming Metric Distance,0.99785
27,Uniformified 32-bit Approx Dual Streak Metric Distance,0.493801
27,Uniformified 32-bit Hash Metric Distance,0.826508
27,Uniformified 32-bit Symmetric Wrap Metric Distance,0.994427
27,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0174893
28,Uniformified 32-bit Hamming Metric Distance,0.490701
28,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0547445
28,Uniformified 32-bit Hash Metric Distance,0.515178
28,Uniformified 32-bit Symmetric Wrap Metric Distance,0.992346
28,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0101253
29,Uniformified 32-bit Hamming Metric Distance,0.983452
29,Uniformified 32-bit Approx Dual Streak Metric Distance,0.493801
29,Uniformified 32-bit Hash Metric Distance,0.271934
29,Uniformified 32-bit Symmetric Wrap Metric Distance,0.991685
29,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00985299
30,Uniformified 32-bit Hamming Metric Distance,0.749875
30,Uniformified 32-bit Approx Dual Streak Metric Distance,0.970253
30,Uniformified 32-bit Hash Metric Distance,0.929989
30,Uniformified 32-bit Symmetric Wrap Metric Distance,0.998737
30,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00727214
31,Uniformified 32-bit Hamming Metric Distance,0.916708
31,Uniformified 32-bit Approx Dual Streak Metric Distance,0.787571
31,Uniformified 32-bit Hash Metric Distance,0.155787
31,Uniformified 32-bit Symmetric Wrap Metric Distance,0.991688
31,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0139325
32,Uniformified 32-bit Hamming Metric Distance,0.847265
32,Uniformified 32-bit Approx Dual Streak Metric Distance,0.9989
32,Uniformified 32-bit Hash Metric Distance,0.31924
32,Uniformified 32-bit Symmetric Wrap Metric Distance,0.996273
32,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00422124
33,Uniformified 32-bit Hamming Metric Distance,0.916708
33,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0265973
33,Uniformified 32-bit Hash Metric Distance,0.884106
33,Uniformified 32-bit Symmetric Wrap Metric Distance,0.986654
33,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00990058
34,Uniformified 32-bit Hamming Metric Distance,0.994251
34,Uniformified 32-bit Approx Dual Streak Metric Distance,0.132187
34,Uniformified 32-bit Hash Metric Distance,0.784264
34,Uniformified 32-bit Symmetric Wrap Metric Distance,0.986049
34,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00888742
35,Uniformified 32-bit Hamming Metric Distance,0.847265
35,Uniformified 32-bit Approx Dual Streak Metric Distance,0.787571
35,Uniformified 32-bit Hash Metric Distance,0.202025
35,Uniformified 32-bit Symmetric Wrap Metric Distance,0.997928
35,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00895075
36,Uniformified 32-bit Hamming Metric Distance,0.983452
36,Uniformified 32-bit Approx Dual Streak Metric Distance,0.787571
36,Uniformified 32-bit Hash Metric Distance,0.277974
36,Uniformified 32-bit Symmetric Wrap Metric Distance,0.997351
36,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00757644
37,Uniformified 32-bit Hamming Metric Distance,0.959404
37,Uniformified 32-bit Approx Dual Streak Metric Distance,0.493801
37,Uniformified 32-bit Hash Metric Distance,0.445099
37,Uniformified 32-bit Symmetric Wrap Metric Distance,0.999187
37,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00775172
38,Uniformified 32-bit Hamming Metric Distance,0.749875
38,Uniformified 32-bit Approx Dual Streak Metric Distance,0.993351
38,Uniformified 32-bit Hash Metric Distance,0.414259
38,Uniformified 32-bit Symmetric Wrap Metric Distance,0.999927
38,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0195275
39,Uniformified 32-bit Hamming Metric Distance,0.983452
39,Uniformified 32-bit Approx Dual Streak Metric Distance,0.9953
39,Uniformified 32-bit Hash Metric Distance,0.0748264
39,Uniformified 32-bit Symmetric Wrap Metric Distance,0.991616
39,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00529342
40,Uniformified 32-bit Hamming Metric Distance,0.994251
40,Uniformified 32-bit Approx Dual Streak Metric Distance,0.97855
40,Uniformified 32-bit Hash Metric Distance,0.708795
40,Uniformified 32-bit Symmetric Wrap Metric Distance,0.993188
40,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00542698
41,Uniformified 32-bit Hamming Metric Distance,0.983452
41,Uniformified 32-bit Approx Dual Streak Metric Distance,0.848665
41,Uniformified 32-bit Hash Metric Distance,0.01881
41,Uniformified 32-bit Symmetric Wrap Metric Distance,0.999322
41,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00722587
42,Uniformified 32-bit Hamming Metric Distance,0.994251
42,Uniformified 32-bit Approx Dual Streak Metric Distance,0.829367
42,Uniformified 32-bit Hash Metric Distance,0.829403
42,Uniformified 32-bit Symmetric Wrap Metric Distance,0.996391
42,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00435546
43,Uniformified 32-bit Hamming Metric Distance,0.628637
43,Uniformified 32-bit Approx Dual Streak Metric Distance,0.994551
43,Uniformified 32-bit Hash Metric Distance,0.648664
43,Uniformified 32-bit Symmetric Wrap Metric Distance,0.994466
43,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00896897
44,Uniformified 32-bit Hamming Metric Distance,0.490701
44,Uniformified 32-bit Approx Dual Streak Metric Distance,0.864564
44,Uniformified 32-bit Hash Metric Distance,0.330497
44,Uniformified 32-bit Symmetric Wrap Metric Distance,0.997145
44,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00832354
45,Uniformified 32-bit Hamming Metric Distance,0.994251
45,Uniformified 32-bit Approx Dual Streak Metric Distance,0.955154
45,Uniformified 32-bit Hash Metric Distance,0.328869
45,Uniformified 32-bit Symmetric Wrap Metric Distance,0.999753
45,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00732622
46,Uniformified 32-bit Hamming Metric Distance,0.959404
