Sample,Metric,Detour Difference
30,Uniformified 32-bit Hash Metric Distance,0.540168
30,Uniformified 32-bit Symmetric Wrap Metric Distance,1.21871
30,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.992171
31,Uniformified 32-bit Hamming Metric Distance,-0.445655
31,Uniformified 32-bit Approx Dual Streak Metric Distance,-0.220078
31,Uniformified 32-bit Hash Metric Distance,0.916965
31,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00302604
31,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.000142624
32,Uniformified 32-bit Hamming Metric Distance,-0.254425
32,Uniformified 32-bit Approx Dual Streak Metric Distance,0.519198
32,Uniformified 32-bit Hash Metric Distance,0.874848
32,Uniformified 32-bit Symmetric Wrap Metric Distance,1.20392
32,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.9885
33,Uniformified 32-bit Hamming Metric Distance,1.59029
33,Uniformified 32-bit Approx Dual Streak Metric Distance,1.4877
33,Uniformified 32-bit Hash Metric Distance,0.796016
33,Uniformified 32-bit Symmetric Wrap Metric Distance,0.106744
33,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00243476
34,Uniformified 32-bit Hamming Metric Distance,0.0179482
34,Uniformified 32-bit Approx Dual Streak Metric Distance,-0.124388
34,Uniformified 32-bit Hash Metric Distance,0.0782395
34,Uniformified 32-bit Symmetric Wrap Metric Distance,1.05143
34,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.997844
35,Uniformified 32-bit Hamming Metric Distance,0.40236
35,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0521948
35,Uniformified 32-bit Hash Metric Distance,0.699531
35,Uniformified 32-bit Symmetric Wrap Metric Distance,-0.0036741
35,Uniformified 32-bit Asymmetric Wrap Metric Distance,1.00313
36,Uniformified 32-bit Hamming Metric Distance,0.747775
36,Uniformified 32-bit Approx Dual Streak Metric Distance,0.553945
36,Uniformified 32-bit Hash Metric Distance,1.19934
36,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00280726
36,Uniformified 32-bit Asymmetric Wrap Metric Distance,-0.00401994
37,Uniformified 32-bit Hamming Metric Distance,0.262024
37,Uniformified 32-bit Approx Dual Streak Metric Distance,0.00984902
