Sample,Metric,Mean Match Distance
31,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494973
32,Uniformified 32-bit Hamming Metric Distance,0.172475
32,Uniformified 32-bit Approx Dual Streak Metric Distance,0.255881
32,Uniformified 32-bit Hash Metric Distance,0.0327865
32,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00665271
32,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494973
33,Uniformified 32-bit Hamming Metric Distance,0.167514
33,Uniformified 32-bit Approx Dual Streak Metric Distance,0.239253
33,Uniformified 32-bit Hash Metric Distance,0.529436
33,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00695435
33,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
34,Uniformified 32-bit Hamming Metric Distance,0.157244
34,Uniformified 32-bit Approx Dual Streak Metric Distance,0.27895
34,Uniformified 32-bit Hash Metric Distance,0.268011
34,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0065663
34,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
35,Uniformified 32-bit Hamming Metric Distance,0.163084
35,Uniformified 32-bit Approx Dual Streak Metric Distance,0.264059
35,Uniformified 32-bit Hash Metric Distance,0.0284299
35,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00691115
35,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494971
36,Uniformified 32-bit Hamming Metric Distance,0.164515
36,Uniformified 32-bit Approx Dual Streak Metric Distance,0.263484
36,Uniformified 32-bit Hash Metric Distance,0.316528
36,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0071583
36,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
37,Uniformified 32-bit Hamming Metric Distance,0.168928
37,Uniformified 32-bit Approx Dual Streak Metric Distance,0.267566
37,Uniformified 32-bit Hash Metric Distance,0.335763
37,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00645194
37,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
38,Uniformified 32-bit Hamming Metric Distance,0.167472
38,Uniformified 32-bit Approx Dual Streak Metric Distance,0.270746
38,Uniformified 32-bit Hash Metric Distance,0.0230943
38,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00688297
38,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
39,Uniformified 32-bit Hamming Metric Distance,0.170781
39,Uniformified 32-bit Approx Dual Streak Metric Distance,0.29252
39,Uniformified 32-bit Hash Metric Distance,0.224487
39,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00693181
39,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
40,Uniformified 32-bit Hamming Metric Distance,0.175678
40,Uniformified 32-bit Approx Dual Streak Metric Distance,0.267271
40,Uniformified 32-bit Hash Metric Distance,0.144132
40,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00661432
40,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494971
41,Uniformified 32-bit Hamming Metric Distance,0.177059
41,Uniformified 32-bit Approx Dual Streak Metric Distance,0.256568
41,Uniformified 32-bit Hash Metric Distance,0.0629284
41,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00660772
41,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494973
42,Uniformified 32-bit Hamming Metric Distance,0.170067
42,Uniformified 32-bit Approx Dual Streak Metric Distance,0.243565
42,Uniformified 32-bit Hash Metric Distance,0.225509
42,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00616848
42,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
43,Uniformified 32-bit Hamming Metric Distance,0.159448
43,Uniformified 32-bit Approx Dual Streak Metric Distance,0.277929
43,Uniformified 32-bit Hash Metric Distance,0.071876
43,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00605111
43,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
44,Uniformified 32-bit Hamming Metric Distance,0.171783
44,Uniformified 32-bit Approx Dual Streak Metric Distance,0.276895
44,Uniformified 32-bit Hash Metric Distance,0.336982
44,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00662925
44,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
45,Uniformified 32-bit Hamming Metric Distance,0.172294
45,Uniformified 32-bit Approx Dual Streak Metric Distance,0.256339
45,Uniformified 32-bit Hash Metric Distance,0.00970003
45,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00640979
45,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494971
46,Uniformified 32-bit Hamming Metric Distance,0.176124
46,Uniformified 32-bit Approx Dual Streak Metric Distance,0.240483
46,Uniformified 32-bit Hash Metric Distance,0.148694
46,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00669448
46,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
47,Uniformified 32-bit Hamming Metric Distance,0.179564
47,Uniformified 32-bit Approx Dual Streak Metric Distance,0.274345
47,Uniformified 32-bit Hash Metric Distance,0.346192
47,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00649345
47,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494974
48,Uniformified 32-bit Hamming Metric Distance,0.174641
48,Uniformified 32-bit Approx Dual Streak Metric Distance,0.274593
48,Uniformified 32-bit Hash Metric Distance,0.23924
48,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00672468
48,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
49,Uniformified 32-bit Hamming Metric Distance,0.175953
49,Uniformified 32-bit Approx Dual Streak Metric Distance,0.261981
49,Uniformified 32-bit Hash Metric Distance,0.0134358
49,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0066153
49,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494974
50,Uniformified 32-bit Hamming Metric Distance,0.16677
50,Uniformified 32-bit Approx Dual Streak Metric Distance,0.269856
50,Uniformified 32-bit Hash Metric Distance,0.0181478
50,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0063227
50,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
51,Uniformified 32-bit Hamming Metric Distance,0.17228
51,Uniformified 32-bit Approx Dual Streak Metric Distance,0.270703
51,Uniformified 32-bit Hash Metric Distance,0.11446
51,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00658351
51,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
52,Uniformified 32-bit Hamming Metric Distance,0.174169
52,Uniformified 32-bit Approx Dual Streak Metric Distance,0.277763
52,Uniformified 32-bit Hash Metric Distance,0.107744
52,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00676784
52,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
53,Uniformified 32-bit Hamming Metric Distance,0.182129
53,Uniformified 32-bit Approx Dual Streak Metric Distance,0.276497
53,Uniformified 32-bit Hash Metric Distance,0.113771
53,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00611103
53,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
54,Uniformified 32-bit Hamming Metric Distance,0.177594
54,Uniformified 32-bit Approx Dual Streak Metric Distance,0.26597
54,Uniformified 32-bit Hash Metric Distance,0.18621
54,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00586052
54,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
55,Uniformified 32-bit Hamming Metric Distance,0.172998
55,Uniformified 32-bit Approx Dual Streak Metric Distance,0.273851
55,Uniformified 32-bit Hash Metric Distance,0.0180442
55,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00598587
55,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
56,Uniformified 32-bit Hamming Metric Distance,0.168349
56,Uniformified 32-bit Approx Dual Streak Metric Distance,0.278351
56,Uniformified 32-bit Hash Metric Distance,0.208568
56,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00667413
56,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
57,Uniformified 32-bit Hamming Metric Distance,0.169679
57,Uniformified 32-bit Approx Dual Streak Metric Distance,0.279767
57,Uniformified 32-bit Hash Metric Distance,0.0534756
57,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00691588
57,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
58,Uniformified 32-bit Hamming Metric Distance,0.181258
58,Uniformified 32-bit Approx Dual Streak Metric Distance,0.262284
58,Uniformified 32-bit Hash Metric Distance,0.0192969
58,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00700071
58,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
59,Uniformified 32-bit Hamming Metric Distance,0.166384
59,Uniformified 32-bit Approx Dual Streak Metric Distance,0.271531
59,Uniformified 32-bit Hash Metric Distance,0.0408884
59,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00690091
59,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
60,Uniformified 32-bit Hamming Metric Distance,0.164466
60,Uniformified 32-bit Approx Dual Streak Metric Distance,0.27411
60,Uniformified 32-bit Hash Metric Distance,0.497766
60,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00703045
60,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
61,Uniformified 32-bit Hamming Metric Distance,0.15945
61,Uniformified 32-bit Approx Dual Streak Metric Distance,0.272907
61,Uniformified 32-bit Hash Metric Distance,0.326737
61,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00654143
61,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494973
62,Uniformified 32-bit Hamming Metric Distance,0.173953
62,Uniformified 32-bit Approx Dual Streak Metric Distance,0.254178
62,Uniformified 32-bit Hash Metric Distance,0.349697
62,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00581329
62,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
63,Uniformified 32-bit Hamming Metric Distance,0.176786
63,Uniformified 32-bit Approx Dual Streak Metric Distance,0.265558
63,Uniformified 32-bit Hash Metric Distance,0.059194
63,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00681281
63,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
64,Uniformified 32-bit Hamming Metric Distance,0.173446
64,Uniformified 32-bit Approx Dual Streak Metric Distance,0.265971
64,Uniformified 32-bit Hash Metric Distance,0.126698
64,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00620291
64,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494973
65,Uniformified 32-bit Hamming Metric Distance,0.17664
65,Uniformified 32-bit Approx Dual Streak Metric Distance,0.27216
65,Uniformified 32-bit Hash Metric Distance,0.233779
65,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00644765
65,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494973
66,Uniformified 32-bit Hamming Metric Distance,0.172986
66,Uniformified 32-bit Approx Dual Streak Metric Distance,0.262333
66,Uniformified 32-bit Hash Metric Distance,0.445062
66,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00662506
66,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
67,Uniformified 32-bit Hamming Metric Distance,0.175315
67,Uniformified 32-bit Approx Dual Streak Metric Distance,0.264813
67,Uniformified 32-bit Hash Metric Distance,0.086797
67,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0060074
67,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
68,Uniformified 32-bit Hamming Metric Distance,0.168188
68,Uniformified 32-bit Approx Dual Streak Metric Distance,0.269976
68,Uniformified 32-bit Hash Metric Distance,0.0928752
68,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00718992
68,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
69,Uniformified 32-bit Hamming Metric Distance,0.171071
69,Uniformified 32-bit Approx Dual Streak Metric Distance,0.267912
69,Uniformified 32-bit Hash Metric Distance,0.310767
69,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00620672
69,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494973
70,Uniformified 32-bit Hamming Metric Distance,0.167314
70,Uniformified 32-bit Approx Dual Streak Metric Distance,0.270128
70,Uniformified 32-bit Hash Metric Distance,0.105868
70,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00701297
70,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
71,Uniformified 32-bit Hamming Metric Distance,0.172724
71,Uniformified 32-bit Approx Dual Streak Metric Distance,0.250646
71,Uniformified 32-bit Hash Metric Distance,0.475483
71,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00695044
71,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494973
72,Uniformified 32-bit Hamming Metric Distance,0.167592
72,Uniformified 32-bit Approx Dual Streak Metric Distance,0.271867
72,Uniformified 32-bit Hash Metric Distance,0.404307
72,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00707388
72,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
73,Uniformified 32-bit Hamming Metric Distance,0.173599
73,Uniformified 32-bit Approx Dual Streak Metric Distance,0.257821
73,Uniformified 32-bit Hash Metric Distance,0.010537
73,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00701611
73,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
74,Uniformified 32-bit Hamming Metric Distance,0.166433
74,Uniformified 32-bit Approx Dual Streak Metric Distance,0.273218
74,Uniformified 32-bit Hash Metric Distance,0.12556
74,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00691943
74,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
75,Uniformified 32-bit Hamming Metric Distance,0.171542
75,Uniformified 32-bit Approx Dual Streak Metric Distance,0.271311
75,Uniformified 32-bit Hash Metric Distance,0.146043
75,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00667994
75,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
76,Uniformified 32-bit Hamming Metric Distance,0.162849
76,Uniformified 32-bit Approx Dual Streak Metric Distance,0.288279
76,Uniformified 32-bit Hash Metric Distance,0.339765
76,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00692484
76,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494973
77,Uniformified 32-bit Hamming Metric Distance,0.16696
77,Uniformified 32-bit Approx Dual Streak Metric Distance,0.275964
77,Uniformified 32-bit Hash Metric Distance,0.232034
77,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00618369
77,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494973
78,Uniformified 32-bit Hamming Metric Distance,0.167017
78,Uniformified 32-bit Approx Dual Streak Metric Distance,0.26462
78,Uniformified 32-bit Hash Metric Distance,0.0615898
78,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00655552
78,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
79,Uniformified 32-bit Hamming Metric Distance,0.176169
79,Uniformified 32-bit Approx Dual Streak Metric Distance,0.255265
79,Uniformified 32-bit Hash Metric Distance,0.0246475
79,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00667952
79,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
80,Uniformified 32-bit Hamming Metric Distance,0.179215
80,Uniformified 32-bit Approx Dual Streak Metric Distance,0.257092
80,Uniformified 32-bit Hash Metric Distance,0.0653193
80,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00687561
80,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494974
81,Uniformified 32-bit Hamming Metric Distance,0.15772
81,Uniformified 32-bit Approx Dual Streak Metric Distance,0.255756
81,Uniformified 32-bit Hash Metric Distance,0.241717
81,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00585291
81,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
82,Uniformified 32-bit Hamming Metric Distance,0.172971
82,Uniformified 32-bit Approx Dual Streak Metric Distance,0.268849
82,Uniformified 32-bit Hash Metric Distance,0.376063
82,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00735118
82,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
83,Uniformified 32-bit Hamming Metric Distance,0.172135
83,Uniformified 32-bit Approx Dual Streak Metric Distance,0.264598
83,Uniformified 32-bit Hash Metric Distance,0.0779135
83,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00678502
83,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494974
84,Uniformified 32-bit Hamming Metric Distance,0.165266
84,Uniformified 32-bit Approx Dual Streak Metric Distance,0.267694
84,Uniformified 32-bit Hash Metric Distance,0.0467358
84,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00664708
84,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494972
85,Uniformified 32-bit Hamming Metric Distance,0.171719
85,Uniformified 32-bit Approx Dual Streak Metric Distance,0.276116
85,Uniformified 32-bit Hash Metric Distance,0.0165669
85,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00650753
85,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494974
86,Uniformified 32-bit Hamming Metric Distance,0.179762
86,Uniformified 32-bit Approx Dual Streak Metric Distance,0.248276
86,Uniformified 32-bit Hash Metric Distance,0.0171078
86,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00662832
86,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494974
87,Uniformified 32-bit Hamming Metric Distance,0.175265
87,Uniformified 32-bit Approx Dual Streak Metric Distance,0.271956
87,Uniformified 32-bit Hash Metric Distance,0.100869
87,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00652719
87,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494971
88,Uniformified 32-bit Hamming Metric Distance,0.168174
88,Uniformified 32-bit Approx Dual Streak Metric Distance,0.286222
88,Uniformified 32-bit Hash Metric Distance,0.0129825
88,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0065945
88,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.494973
89,Uniformified 32-bit Hamming Metric Distance,0.167517
