Sample,Metric,Match Distance
28,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.992926
29,Uniformified 32-bit Hamming Metric Distance,0.00244976
29,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0750425
29,Uniformified 32-bit Hash Metric Distance,0.820397
29,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00841983
29,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.0083012
30,Uniformified 32-bit Hamming Metric Distance,0.140786
30,Uniformified 32-bit Approx Dual Streak Metric Distance,0.848665
30,Uniformified 32-bit Hash Metric Distance,0.0213813
30,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00637033
30,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.991256
31,Uniformified 32-bit Hamming Metric Distance,0.0386961
31,Uniformified 32-bit Approx Dual Streak Metric Distance,0.493801
31,Uniformified 32-bit Hash Metric Distance,0.347759
31,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0108246
31,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00599773
32,Uniformified 32-bit Hamming Metric Distance,0.0762924
32,Uniformified 32-bit Approx Dual Streak Metric Distance,0.00189981
32,Uniformified 32-bit Hash Metric Distance,0.955037
32,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0110284
32,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00261935
33,Uniformified 32-bit Hamming Metric Distance,0.0386961
33,Uniformified 32-bit Approx Dual Streak Metric Distance,0.39981
33,Uniformified 32-bit Hash Metric Distance,0.415191
33,Uniformified 32-bit Symmetric Wrap Metric Distance,0.000180087
33,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.997303
34,Uniformified 32-bit Hamming Metric Distance,0.0386961
34,Uniformified 32-bit Approx Dual Streak Metric Distance,0.630437
34,Uniformified 32-bit Hash Metric Distance,0.438144
34,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0182958
34,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00128182
35,Uniformified 32-bit Hamming Metric Distance,0.140786
35,Uniformified 32-bit Approx Dual Streak Metric Distance,0.00314969
35,Uniformified 32-bit Hash Metric Distance,0.320488
35,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00594825
35,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00086767
36,Uniformified 32-bit Hamming Metric Distance,0.0762924
36,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0750425
36,Uniformified 32-bit Hash Metric Distance,0.0375349
36,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00599235
36,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.997222
37,Uniformified 32-bit Hamming Metric Distance,0.235526
37,Uniformified 32-bit Approx Dual Streak Metric Distance,0.493801
37,Uniformified 32-bit Hash Metric Distance,0.533031
37,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0209084
37,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.997206
38,Uniformified 32-bit Hamming Metric Distance,0.0762924
38,Uniformified 32-bit Approx Dual Streak Metric Distance,0.493801
38,Uniformified 32-bit Hash Metric Distance,0.623544
38,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00408823
38,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.995996
39,Uniformified 32-bit Hamming Metric Distance,0.0386961
39,Uniformified 32-bit Approx Dual Streak Metric Distance,0.00060145
39,Uniformified 32-bit Hash Metric Distance,0.555527
39,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00866937
39,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00273334
40,Uniformified 32-bit Hamming Metric Distance,0.0762924
40,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0336466
40,Uniformified 32-bit Hash Metric Distance,0.23198
40,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00301594
40,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00143235
41,Uniformified 32-bit Hamming Metric Distance,0.490701
41,Uniformified 32-bit Approx Dual Streak Metric Distance,0.493801
41,Uniformified 32-bit Hash Metric Distance,0.253173
41,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0058206
41,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00441116
42,Uniformified 32-bit Hamming Metric Distance,0.354665
42,Uniformified 32-bit Approx Dual Streak Metric Distance,0.29697
42,Uniformified 32-bit Hash Metric Distance,0.523606
42,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00964316
42,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.994255
43,Uniformified 32-bit Hamming Metric Distance,0.0762924
43,Uniformified 32-bit Approx Dual Streak Metric Distance,0.165983
43,Uniformified 32-bit Hash Metric Distance,0.915498
43,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00767583
43,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.991667
44,Uniformified 32-bit Hamming Metric Distance,0.0762924
44,Uniformified 32-bit Approx Dual Streak Metric Distance,0.357514
44,Uniformified 32-bit Hash Metric Distance,0.066413
44,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0114699
44,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00706049
45,Uniformified 32-bit Hamming Metric Distance,0.0386961
45,Uniformified 32-bit Approx Dual Streak Metric Distance,0.493801
45,Uniformified 32-bit Hash Metric Distance,0.186841
45,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00255874
45,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.000707623
46,Uniformified 32-bit Hamming Metric Distance,0.140786
46,Uniformified 32-bit Approx Dual Streak Metric Distance,0.00314969
46,Uniformified 32-bit Hash Metric Distance,0.92416
46,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0138444
46,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.999547
47,Uniformified 32-bit Hamming Metric Distance,0.0386961
47,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0425957
47,Uniformified 32-bit Hash Metric Distance,0.188666
47,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00951295
47,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.995097
48,Uniformified 32-bit Hamming Metric Distance,0.235526
48,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0265973
48,Uniformified 32-bit Hash Metric Distance,0.275143
48,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00082177
48,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.991672
49,Uniformified 32-bit Hamming Metric Distance,0.628637
49,Uniformified 32-bit Approx Dual Streak Metric Distance,0.0213479
49,Uniformified 32-bit Hash Metric Distance,0.37182
49,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00502231
49,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.997311
50,Uniformified 32-bit Hamming Metric Distance,0.140786
50,Uniformified 32-bit Approx Dual Streak Metric Distance,0.165983
50,Uniformified 32-bit Hash Metric Distance,0.984683
50,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0109588
50,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00374789
51,Uniformified 32-bit Hamming Metric Distance,0.0762924
51,Uniformified 32-bit Approx Dual Streak Metric Distance,0.00249975
51,Uniformified 32-bit Hash Metric Distance,0.689276
51,Uniformified 32-bit Symmetric Wrap Metric Distance,0.0124093
51,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00011253
52,Uniformified 32-bit Hamming Metric Distance,0.490701
52,Uniformified 32-bit Approx Dual Streak Metric Distance,0.00814919
52,Uniformified 32-bit Hash Metric Distance,0.960524
52,Uniformified 32-bit Symmetric Wrap Metric Distance,0.00518751
52,Uniformified 32-bit Asymmetric Wrap Metric Distance,0.00349376
53,Uniformified 32-bit Hamming Metric Distance,0.354665
53,Uniformified 32-bit Approx Dual Streak Metric Distance,0.20343
53,Uniformified 32-bit Hash Metric Distance,0.232929
